ident,user,text,created_at,updated_at
172676169,shivamgulati1991,"The idea is to solve a personal collaborative time management problem which we deal with from multiple sources. 
eg. Personal appointments clashing with facebook events. Users would benefit if they can have a single source of information to manage their day-to-day time and schedules.",1453157992.0,1453605683.0
172676377,shivamgulati1991,"Suggestions could be like , facebook events, office outlook appointments, personal events, etc.",1453158073.0,1453605857.0
177887565,shivamgulati1991,Completed,1454321099.0,1454321099.0
177887805,shivamgulati1991,Study completed and deductions noted down,1454321133.0,1454321133.0
177895969,shivamgulati1991,Report submitted,1454322204.0,1454322204.0
178313930,priysha,Mentioned changed made in the report.,1454379250.0,1454379250.0
180877313,shivamgulati1991,"An Android app, a google script app and one yet to be finalised",1454798706.0,1454893290.0
181149921,shivamgulati1991,Android environment has been set up,1454893319.0,1454893319.0
181149982,shivamgulati1991,"Idea for 1 in progress, 2 implementation can start",1454893394.0,1454893394.0
181150058,shivamgulati1991,Implementation started,1454893478.0,1454893478.0
186514236,shivamgulati1991,Collection Discussion,1455945930.0,1455945930.0
186514248,shivamgulati1991,Basic layout in progress for fixed screensize,1455945960.0,1455945960.0
186514298,shivamgulati1991,"Basic HTML for date picker to extract appointments, improvements to work upon",1455946043.0,1455946043.0
186514512,shivamgulati1991,3rd solution in discussion on lines of JavaScript or VBA macro,1455946092.0,1455946092.0
186514662,shivamgulati1991,"Setup works fine, so closing the issue",1455946120.0,1455946120.0
186774300,shivamgulati1991,"Facebook ID and token created, calling error in code.",1456042133.0,1456042133.0
187984826,nishtha02,https://developers.facebook.com/docs/android This link might help,1456273523.0,1456273523.0
188608190,shivamgulati1991,Token call not responding. Solution to be looked into,1456374359.0,1456374359.0
189763085,shivamgulati1991,In progress,1456624132.0,1456624132.0
189763164,shivamgulati1991,Setup in progress for facebook,1456624149.0,1456624149.0
189763248,shivamgulati1991,Fixed,1456624179.0,1456624179.0
189763291,shivamgulati1991,"Reporting in progress, email schedulers next",1456624244.0,1456624244.0
189763602,nishtha02,API setup for fb done,1456624321.0,1456624321.0
189764054,shivamgulati1991,Basic setup works,1456624701.0,1456624701.0
189774697,shivamgulati1991,Default script added to send email every minute. Enhancements required,1456629618.0,1456629618.0
189781613,shivamgulati1991,API setup in progress for Android,1456632675.0,1456632675.0
189781785,shivamgulati1991,"Email shows calendar addesss, email, start date, end date and description",1456632718.0,1456632718.0
189785602,priysha,Scheduler implementation in progress. User can input date for report extraction,1456637396.0,1456637396.0
189885288,nishtha02,testing the code for setup,1456670891.0,1456670891.0
189896643,nishtha02,meetup api integration completed,1456675674.0,1456675674.0
189961264,shivamgulati1991,JQuery toggle added ,1456699326.0,1456699326.0
189961372,shivamgulati1991,Work in progress,1456699336.0,1456699336.0
189986550,shivamgulati1991,"Added google analytics script to GS for user tracking.
This is just a basic idea to be worked on next month ",1456708137.0,1456708137.0
190008272,nishtha02,Sync with google events completed,1456713226.0,1456713226.0
190058164,shivamgulati1991,Fixed.,1456725769.0,1456725769.0
190058221,shivamgulati1991,Code to see active users added,1456725795.0,1456725795.0
190084286,shivamgulati1991,done,1456732671.0,1456732671.0
190086299,shivamgulati1991,Basic idea discussed,1456733235.0,1456733235.0
190389071,shivamgulati1991,Added and fixed,1456779702.0,1456779702.0
190408383,shivamgulati1991,"base scripts added, to be extended further next month",1456782088.0,1456782088.0
190423258,shivamgulati1991,Completed.,1456784192.0,1456784192.0
190529037,nishtha02,completed,1456804866.0,1456804866.0
190574279,shivamgulati1991,App has to be submitted for review for permissions. Closing since not possible.,1456814327.0,1456814327.0
190908832,nishtha02,to be done later(enhancment),1456866988.0,1456866988.0
191042431,nishtha02,completed,1456890177.0,1456890177.0
191042686,shivamgulati1991,Enhancement ahead,1456890221.0,1456890221.0
191043161,shifalijain,Issue resolved.,1456890290.0,1456890290.0
205927456,shivamgulati1991,In progress,1459880189.0,1459880189.0
206069098,nishtha02,Completed,1459907240.0,1459907240.0
206069724,nishtha02,Done,1459907412.0,1459907412.0
206069919,shivamgulati1991,My work in progress.,1459907508.0,1459907508.0
207099657,nishtha02,Surveys and interviews recorded and stats created,1460065384.0,1460065384.0
207100618,nishtha02,Introduction and analysis completed,1460065491.0,1460065491.0
207101044,nishtha02,working on it,1460065529.0,1460065529.0
207101472,shifalijain,The logs were captured and analysed.,1460065580.0,1460065580.0
207149217,shivamgulati1991,Revised and done,1460075783.0,1460075783.0
