ident,m_id,m_title,m_description,created_at,due_at,closed_at,user
1553325,1,Feb1 - Report Due for Data Collection,Create the report and submit before 1st Feb,1454208784.0,,1454388659.0,nikraina
1592217,2,Complete Android Setup and Tutorial,,1455856433.0,1455858000.0,1456210050.0,citizen-kane
1592241,3,Complete basic app building using Android Studio,,1455857944.0,1455944400.0,1456210056.0,akhan7
1592276,4,basic simple app,,1455860618.0,1455944400.0,1456210058.0,nikraina
1592277,5,basic simple app with google maps API,,1455860636.0,1456030800.0,1456210069.0,nikraina
1592278,6,check the possibility of having publish subscribe,,1455860663.0,1456808400.0,,nikraina
1595216,7,Basic app created - integrate google maps with it,"The basic app has been created and pushed to branch 'kagarwa'
Need to integrate this with google maps.",1456024316.0,1456030800.0,1456210062.0,citizen-kane
1599066,8,create map object to use the methods,,1456210218.0,,1456210526.0,nikraina
1599084,9,App opens with a biased location wrt campus,,1456211534.0,1456635600.0,,nikraina
1599338,10,Locate all NCSU parking sites and reflect them on the map,,1456223176.0,1456290000.0,1456347478.0,citizen-kane
1599561,11,Implement User Current Location Feature,,1456231568.0,1456376400.0,1456347789.0,citizen-kane
1603855,12,Save NCSU Parking Locations,To save Parking locations in NCSU as a sql table/csv file/hard code/any other option.,1456347396.0,1456635600.0,,citizen-kane
1603874,13,Implement Cloud feature ,Implement cloud feature for saving any kind of USER Data and APP Data which are presently using native app databases.,1456347629.0,1456808400.0,,citizen-kane
1603879,14,Introduce DESIGN to parking lots,"Features:
Total Space:
Available Space:
Reserved Spaces:
Unusable Spaces:

Future design for March:
Rate of Charges:
and idea of user charges per day.
",1456347754.0,1456635600.0,,citizen-kane
1609039,15,Have a login and Signup,have a login and sign up screen,1456531760.0,,,nikraina
1621564,16,Include Telemetry in the system,,1457066519.0,1457067600.0,,citizen-kane
