sha,user,time,message
38cc9b8ac46f1d5180faf6d0da8cfbfae90ed643,shivamgulati1991,1461998097.0,updated data files
2656dc0fe8e9038b2ad9888d5bae14886983028b,shivamgulati1991,1461713286.0,fix
aa2e9a0ccbedb048278808be14941d541a6f7fbc,shivamgulati1991,1461713134.0,added issues extracted data for May
46aa179c8962ac805830905b16c7c51bf6c0edcb,shivamgulati1991,1461034758.0,Merge branch 'master' of https://github.com/shivamgulati1991/CSC510-SE-group-i
f0be87a40eb05d0e5c046c2c88ef936bcda78e99,shivamgulati1991,1461034730.0,pdf of presentation
d8d5f76eba2fce2e3cd0c7e5a489889132953722,shivamgulati1991,1460131550.0,Update README.md
9696d6dd186cf9965bdb60ae68d99f49b0db3215,shivamgulati1991,1460078491.0,Update README.md
e98438411d7c796184833b398747a73efc056672,shivamgulati1991,1460078379.0,added report and presentation
90340821d75e699ac80d950b0d34cc54decaac69,shivamgulati1991,1459712562.0,more analytics
b7e3b9b9400d0558b50610c5f1db9d927dff3224,shivamgulati1991,1459450282.0,code changes to google script
0931dfee03a7c78e51e120eed7fc72c79f532a0b,priysha,1457118276.0,Merge remote-tracking branch 'origin/and'
51151d6d699a0274e5272b81a6a17596f74904c2,priysha,1457117470.0,gerge remote-tracking branch 'origin/JS'
85c8f4dd130d4d5b100077630fad9b54491fbd0a,shivamgulati1991,1457064111.0,Update README.md
bf50b6b0291ba065db69c87cdec6d7f561c6d8e7,shivamgulati1991,1457064077.0,Added files via upload
dacc62032f9479fd3a72a4298223d86696b2872c,priysha,1456892387.0,outlook integration
b4a7d1bf122a824656ab1d2220b607e12271f5be,shivamgulati1991,1456890120.0,Updated links in readme
da420394f38d00a035799f610043ec2e510a0d44,shivamgulati1991,1456889958.0,Added files via upload
b65ce74d2eb9165617721f3260f062f09cf5cd05,shivamgulati1991,1456889883.0,Delete Evaluation.plan.docx
af85c93f96c56249032574cb3b304d47664708a7,shivamgulati1991,1456889873.0,Delete Telemetry.docx
8b0f510ba5f30bd36efe0392a51cea32450fd637,shivamgulati1991,1456889826.0,Added telemetry (sample log) and evaluation plan
00b6c0fa128ddbbcadddb8deebf4c1edaca72067,shivamgulati1991,1456888768.0,Update README.md
ff470d21536b6bdc4724c4292e0b912d077b8618,shivamgulati1991,1456888251.0,Update README.md
97be66e63da1f65184d3f0b7ca641e5a21d4f36b,nishtha02,1456879636.0,Merge branch 'and' of https://github.com/shivamgulati1991/CSC510-SE-group-i into and
c1a63957be82666b7f18deb1085a37c4ded45822,nishtha02,1456879494.0,fb login
165acc450c2d822c078494ab4044870678589d49,shifalijain,1456868788.0,Delete CalendarQuickstart29thFebFinal.zip
96ed3a0e3b21b3d2cdfaf16a97defde0b73d4f70,shifalijain,1456867313.0,google calendar update
6e7b64cd762915058494aa2979ea52c9bd39fe79,priysha,1456866764.0,function fix for facebook
0c33fa29aeba41d9ead07d9d2566b3ba604b06be,nishtha02,1456817699.0,meetup token access
b063e28c4c5cded7422abee94b16bb024f32ee28,shifalijain,1456817556.0,meetup1
729f6a9db40bddca10105dfbe5f73b672aba9a69,priysha,1456814105.0,layout setup
2acf23a0679125e963b86d02f1d1b81ff218471f,shifalijain,1456804775.0,authentication of meetup
9e37ef717af0b18ce36298d2340f7e632665075b,nishtha02,1456804103.0,meetup setup and layout
bfc36c0dc8c9680d26b65fdae10fbcbcece3765b,shivamgulati1991,1456801112.0,added facebook sdk and login
6d69bdd86d7e7bd7fd918b53c963db6d8bfc53bf,shivamgulati1991,1456801044.0,setup facebook sdk
c0e27303aab58e92569fe3f298d2b0bbe6ff90b4,shivamgulati1991,1456800909.0,connected google sdk for calendar
2ecdc2b60f0c1a72154198d91cb86e51171458ed,priysha,1456780842.0,UI changes
66a9b8494b547727a0c58688630f44c05ced3f5a,priysha,1456780670.0,fixes
d61ca0391e5a6d30ec80fde6be6d7da2d5c760d6,priysha,1456780174.0,added subscribe by id option
9c6ba6237d39aa76e3bbb051aa239e6f9bdb4f9a,shifalijain,1456729172.0,setup calendar with google events
5ea14261108f79785cad07492faf2a2736443b84,nishtha02,1456728690.0,fix
04a636aca7cec7ec48af165b07ca599ff775ff17,priysha,1456719530.0,bug fix for picking calendar
55c3ba009b7dd55bbae368301b4750767b12f285,shivamgulati1991,1456707992.0,added user calendar view
9704a674b2444dcff3ee4e7edbb9033e3310ea9d,priysha,1456701999.0,add event creation on UI
e17d1b8fb1c1bbdbacec228121b3b1a2edf2b4f2,shivamgulati1991,1456699243.0,improved layout
2888c42cf7498edcda79406093b52f9cd05bbc24,shivamgulati1991,1456688310.0,embedded google analytics
138292c71a790db3f3adb81e5985d9872aeeb8f7,shifalijain,1456676032.0,api meetup setup
e4f98e054d455a8d6567c06deed734e3633adc01,shivamgulati1991,1456637218.0,user can input dates to extract reports
1b188b22bf98d69a2a6fd9e6c2ddecd534105e3b,ngarg02,1456632307.0,calendar view update
494b3d0b3de5c3dccd89d4cb5f4708b676b1255a,priysha,1456629519.0,installable default trigger script added
34da5861de8dbb41731d96f45d1b17776437c08e,shivamgulati1991,1456623787.0,get dates from user
c61f4e265947dfc9d4ee8715c64cd36345377bdb,ngarg02,1456621835.0,added fb sdk
8f8e74c38cd1def5f7df6fa72486477e7411aa80,priysha,1456617200.0,Merge branch 'master' of https://github.com/shivamgulati1991/CSC510-SE-group-i
2198a5e5b2871349ca4e2b063d8f792da1d66a97,priysha,1456615947.0,added event creation option
252c48f38c129fff30c906f5f83fc6d3356b1143,nishtha02,1456614961.0,Delete main
eed50f7e15bd85a188e23b9b9791d7dda748d678,nishtha02,1456614946.0,Create main
8d7524d175c8c7a0af0b245e407aee5ba9fd2e49,shivamgulati1991,1456282764.0,Merge branch 'master' of https://github.com/shivamgulati1991/CSC510-SE-group-i
37310e18cdd2db12a1d565d19536218327db63a6,shivamgulati1991,1456282737.0,auto pick gmail id from login fix
72e2fd8c446f4ae30030d5b8ca3c0ef1bdfb35b8,nishtha02,1456281468.0,Delete References
35cf64e2f74964f66761f80ad8baa2d30d187e5b,nishtha02,1456277705.0,Create References
ff335e5583c528e6c9bedcb1ec06f8c6ac11b64c,shivamgulati1991,1455945900.0,fixes to html
e5a4a4c29880d7042c3127afdea8b2029d63bd00,shivamgulati1991,1454893763.0,creation of index.html
5a77ba75c3f1a0708f2508ecbb06b66698fbface,priysha,1454890974.0,fixes
4977dcd3756e55564538dc126b18870d1cb34a24,priysha,1454890857.0,corrected function naming
6b96219d0aa168e71d2ab32fee16b208c4de10f5,priysha,1454890630.0,Merge branch 'master' of https://github.com/shivamgulati1991/CSC510-SE-group-i
e2ab0100007f97b09670d43c487b5f7dcf9696b8,priysha,1454890598.0,fix report format for email
