"ID","TEAM","IDENT","CREATOR","TEXT","CREATED_AT","UPDATED_AT"
"1","1","172676169","user4","""The idea is to solve a personal collaborative time management problem which we deal with from multiple sources. 
eg. Personal appointments clashing with facebook events. Users would benefit if they can have a single source of information to manage their day-to-day time and schedules.""","1453157992","1453605683"
"2","1","172676377","user4","""Suggestions could be like , facebook events, office outlook appointments, personal events, etc.""","1453158073","1453605857"
"3","1","177887565","user4","Completed","1454321099","1454321099"
"4","1","177887805","user4","Study completed and deductions noted down","1454321133","1454321133"
"5","1","177895969","user4","Report submitted","1454322204","1454322204"
"6","1","178313930","user2","Mentioned changed made in the report.","1454379250","1454379250"
"7","1","180877313","user4","""An Android app, a google script app and one yet to be finalised""","1454798706","1454893290"
"8","1","181149921","user4","Android environment has been set up","1454893319","1454893319"
"9","1","181149982","user4","""Idea for 1 in progress, 2 implementation can start""","1454893394","1454893394"
"10","1","181150058","user4","Implementation started","1454893478","1454893478"
"11","1","186514236","user4","Collection Discussion","1455945930","1455945930"
"12","1","186514248","user4","Basic layout in progress for fixed screensize","1455945960","1455945960"
"13","1","186514298","user4","""Basic HTML for date picker to extract appointments, improvements to work upon""","1455946043","1455946043"
"14","1","186514512","user4","3rd solution in discussion on lines of JavaScript or VBA macro","1455946092","1455946092"
"15","1","186514662","user4","""Setup works fine, so closing the issue""","1455946120","1455946120"
"16","1","186774300","user4","""Facebook ID and token created, calling error in code.""","1456042133","1456042133"
"17","1","187984826","user1","https://developers.facebook.com/docs/android This link might help","1456273523","1456273523"
"18","1","188608190","user4","Token call not responding. Solution to be looked into","1456374359","1456374359"
"19","1","189763085","user4","In progress","1456624132","1456624132"
"20","1","189763164","user4","Setup in progress for facebook","1456624149","1456624149"
"21","1","189763248","user4","Fixed","1456624179","1456624179"
"22","1","189763291","user4","""Reporting in progress, email schedulers next""","1456624244","1456624244"
"23","1","189763602","user1","API setup for fb done","1456624321","1456624321"
"24","1","189764054","user4","Basic setup works","1456624701","1456624701"
"25","1","189774697","user4","Default script added to send email every minute. Enhancements required","1456629618","1456629618"
"26","1","189781613","user4","API setup in progress for Android","1456632675","1456632675"
"27","1","189781785","user4","""Email shows calendar addesss, email, start date, end date and description""","1456632718","1456632718"
"28","1","189785602","user2","Scheduler implementation in progress. User can input date for report extraction","1456637396","1456637396"
"29","1","189885288","user1","testing the code for setup","1456670891","1456670891"
"30","1","189896643","user1","meetup api integration completed","1456675674","1456675674"
"31","1","189961264","user4","JQuery toggle added","1456699326","1456699326"
"32","1","189961372","user4","Work in progress","1456699336","1456699336"
"33","1","189986550","user4","""Added google analytics script to GS for user tracking.
This is just a basic idea to be worked on next month""","1456708137","1456708137"
"34","1","190008272","user1","Sync with google events completed","1456713226","1456713226"
"35","1","190058164","user4","Fixed.","1456725769","1456725769"
"36","1","190058221","user4","Code to see active users added","1456725795","1456725795"
"37","1","190084286","user4","done","1456732671","1456732671"
"38","1","190086299","user4","Basic idea discussed","1456733235","1456733235"
"39","1","190389071","user4","Added and fixed","1456779702","1456779702"
"40","1","190408383","user4","""base scripts added, to be extended further next month""","1456782088","1456782088"
"41","1","190423258","user4","Completed.","1456784192","1456784192"
"42","1","190529037","user1","completed","1456804866","1456804866"
"43","1","190574279","user4","App has to be submitted for review for permissions. Closing since not possible.","1456814327","1456814327"
"44","1","190908832","user1","to be done later(enhancment)","1456866988","1456866988"
"45","1","191042431","user1","completed","1456890177","1456890177"
"46","1","191042686","user4","Enhancement ahead","1456890221","1456890221"
"47","1","191043161","user3","Issue resolved.","1456890290","1456890290"
"48","1","205927456","user4","In progress","1459880189","1459880189"
"49","1","206069098","user1","Completed","1459907240","1459907240"
"50","1","206069724","user1","Done","1459907412","1459907412"
"51","1","206069919","user4","My work in progress.","1459907508","1459907508"
"52","1","207099657","user1","Surveys and interviews recorded and stats created","1460065384","1460065384"
"53","1","207100618","user1","Introduction and analysis completed","1460065491","1460065491"
"54","1","207101044","user1","working on it","1460065529","1460065529"
"55","1","207101472","user3","The logs were captured and analysed.","1460065580","1460065580"
"56","1","207149217","user4","Revised and done","1460075783","1460075783"
"57","2","185880265","user4","""[sample_json.txt](https://github.com/moharnab123saikia/CSC510-group-f/files/136803/sample_json.txt)
""","1455823819","1455823819"
"58","2","185881061","user4","I have shared the sample JSON for saving the reviews. Could you all please check it once and let me know if anything else has to be added?","1455823920","1455823920"
