"ID","TEAM","ISSUENO","LABEL","WHEN","CREATED_AT","ASSIGNEE","COMMENTS","MILESTONE","DURATION","ISSUECLOSEDAT","ACTION","CREATOR"
"134","1","ISSUE 33","Null Label","1456779702","1456775599","user4","1","1-Mar","4103","1456779702","closed","user4"
"135","1","ISSUE 33","Null Label","1456775599","1456775599","user4","1","1-Mar","4103","1456779702","milestoned","user4"
"136","1","ISSUE 33","Null Label","1456775599","1456775599","user4","1","1-Mar","4103","1456779702","assigned","user4"
"137","1","ISSUE 33","Implementation","1456775599","1456775599","user4","1","1-Mar","4103","1456779702","labeled","user4"
"138","1","ISSUE 33","enhancement","1456775599","1456775599","user4","1","1-Mar","4103","1456779702","labeled","user4"
"139","1","ISSUE 34","Null Label","1456805160","1456781560","user2","0","1-Mar","23600","1456805160","closed","user2"
"140","1","ISSUE 34","Null Label","1456781560","1456781560","user2","0","1-Mar","23600","1456805160","milestoned","user2"
"141","1","ISSUE 34","Null Label","1456781560","1456781560","user2","0","1-Mar","23600","1456805160","assigned","user2"
"142","1","ISSUE 34","bug","1456781560","1456781560","user2","0","1-Mar","23600","1456805160","labeled","user2"
"143","1","ISSUE 35","Null Label","1456866988","1456784241","user1","1","1-Mar","82747","1456866988","closed","user1"
"144","1","ISSUE 35","Null Label","1456784241","1456784241","user1","1","1-Mar","82747","1456866988","milestoned","user1"
"145","1","ISSUE 35","Null Label","1456784241","1456784241","user1","1","1-Mar","82747","1456866988","assigned","user1"
"146","1","ISSUE 35","Implementation","1456784241","1456784241","user1","1","1-Mar","82747","1456866988","labeled","user1"
"147","1","ISSUE 36","Null Label","1456814327","1456784266","user3","1","1-Mar","30061","1456814327","closed","user3"
"148","1","ISSUE 36","Null Label","1456784266","1456784266","user3","1","1-Mar","30061","1456814327","milestoned","user3"
"149","1","ISSUE 36","Null Label","1456784266","1456784266","user3","1","1-Mar","30061","1456814327","assigned","user3"
"150","1","ISSUE 36","bug","1456784266","1456784266","user3","1","1-Mar","30061","1456814327","labeled","user3"
"151","1","ISSUE 37","Null Label","1459712657","1456785360","user3","0","User response study initial survey on apps usage","2927297","1459712657","closed","user3"
"152","1","ISSUE 37","testing","1456785389","1456785360","user3","0","User response study initial survey on apps usage","2927297","1459712657","labeled","user3"
"153","1","ISSUE 37","Null Label","1456785360","1456785360","user3","0","User response study initial survey on apps usage","2927297","1459712657","milestoned","user3"
"154","1","ISSUE 37","Null Label","1456785360","1456785360","user3","0","User response study initial survey on apps usage","2927297","1459712657","assigned","user3"
"155","1","ISSUE 38","Null Label","1456804866","1456804283","user3","1","1-Mar","583","1456804866","closed","user3"
"156","1","ISSUE 38","Null Label","1456804283","1456804283","user3","1","1-Mar","583","1456804866","milestoned","user3"
"157","1","ISSUE 38","Null Label","1456804283","1456804283","user3","1","1-Mar","583","1456804866","assigned","user3"
"158","1","ISSUE 38","Implementation","1456804283","1456804283","user3","1","1-Mar","583","1456804866","labeled","user3"
"159","1","ISSUE 39","Null Label","1456871112","1456805030","user1","0","1-Mar","66082","1456871112","closed","user1"
"160","1","ISSUE 39","Null Label","1456805030","1456805030","user1","0","1-Mar","66082","1456871112","milestoned","user1"
